code5,scan_date,ccass_asof_date,ccass_top10_pct,ccass_top5_pct,ccass_top10_delta,ccass_window_days,ccass_suspect_denominator,ccass_top10_pct_known,concentration_rising,hd_top10_pct_of_ccass,hd_asof_date,hd_top10_delta,dump_asof_date,dump_c10_shares,dump_issued_shares,dump_top10_pct_of_issued,dump_top10_pct_of_issued_raw,dump_top10_delta_shares,dump_window_days,dump_concentration_rising,dump_corp_action_in_window,dump_issued_missing
08245,2025-07-10,,,,,,,0,,,,,2025-07-08,141599791.0,289541272.0,48.9049,48.9049,2380100.0,65.0,0.5,0,0
00601,2025-07-10,,,,,,,0,,,,,2025-07-08,403685845.0,592595103.0,68.1217,68.1217,-2531747.0,65.0,0.5,0,0
08537,2025-07-10,,,,,,,0,,,,,2025-07-08,115606279.0,360000000.0,32.1129,32.1129,840000.0,65.0,0.5,0,0
01718,2025-07-10,,,,,,,0,,,,,2025-07-08,182919270.0,304120000.0,60.1471,60.1471,107094000.0,65.0,1.0,0,0
01315,2025-07-10,,,,,,,0,,,,,2025-07-08,334155807.0,621876317.0,53.7335,53.7335,-12384350.0,65.0,0.0,0,0
01661,2025-07-10,,,,,,,0,,,,,2025-07-08,87508997.0,190294200.0,45.9862,45.9862,-320000.0,65.0,0.5,0,0
06968,2025-07-10,,,,,,,0,,,,,2025-07-08,1276788000.0,1621799000.0,78.7266,78.7266,-2144000.0,65.0,0.5,0,0
01967,2025-07-10,,,,,,,0,,,,,2025-07-08,124037150.0,300000000.0,41.3457,41.3457,51350900.0,65.0,1.0,0,0
00833,2025-07-10,,,,,,,0,,,,,2025-07-08,309297664.0,473058180.0,65.3826,65.3826,-2119170.0,65.0,0.5,0,0
06158,2025-07-10,,,,,,,0,,,,,2025-07-08,3716928430.0,4367756000.0,85.0993,85.0993,-10095001.0,65.0,0.5,0,0
00476,2025-07-10,,,,,,,0,,,,,2025-07-08,143045151.0,355649109.0,40.2209,40.2209,28317004.0,65.0,1.0,0,0
00532,2025-07-10,,,,,,,0,,,,,2025-07-08,220304801.0,729897964.0,30.183,30.183,-2513550.0,65.0,0.5,0,0
01080,2025-07-10,,,,,,,0,,,,,2025-07-08,2589189374.0,3874365600.0,66.8287,66.8287,4001798.0,65.0,0.5,0,0
08481,2025-07-10,,,,,,,0,,,,,2025-07-08,241450000.0,405170000.0,59.5923,59.5923,340000.0,65.0,0.5,0,0
02349,2025-07-10,,,,,,,0,,,,,2025-07-08,1622788562.0,3128278542.0,51.8748,51.8748,6699200.0,65.0,0.5,0,0
01777,2025-07-10,,,,,,,0,,,,,2025-07-08,1205653855.0,3628367310.0,,33.2286,21327136.0,65.0,,1,0
01062,2025-07-10,,,,,,,0,,,,,2025-07-08,2540714560.0,2902215360.0,87.544,87.544,8340000.0,65.0,0.5,0,0
00583,2025-07-10,,,,,,,0,,,,,2025-07-08,626864887.0,1567745596.0,39.9851,39.9851,818000.0,65.0,0.5,0,0
03301,2025-07-10,,,,,,,0,,,,,2025-07-08,1069366009.0,1683431417.0,63.523,63.523,19504500.0,65.0,1.0,0,0
00149,2025-07-10,,,,,,,0,,,,,2025-07-08,7970184461.0,9953067822.0,80.0777,80.0777,18654244.0,65.0,0.5,0,0
02376,2025-07-10,,,,,,,0,,,,,2025-07-08,32126000.0,133340000.0,24.0933,24.0933,220500.0,65.0,0.5,0,0
01966,2025-07-10,,,,,,,0,,,,,2025-07-08,3692026906.0,4222986126.0,87.4269,87.4269,4472657.0,65.0,0.5,0,0
00090,2025-07-10,,,,,,,0,,,,,2025-07-08,418565000.0,458600000.0,91.2702,91.2702,682000.0,65.0,0.5,0,0
01233,2025-07-10,,,,,,,0,,,,,2025-07-08,1854117313.0,2996092775.0,61.8845,61.8845,-3623317.0,65.0,0.5,0,0
00337,2025-07-10,,,,,,,0,,,,,2025-07-08,1493340996.0,2791884683.0,53.4886,53.4886,-11742481.0,65.0,0.5,0,0
