code5,date,source_change_pct,high,prev_close,max_pct,n_max_est,t5_return_pct,t10_return_pct,t20_return_pct
00139,2026-05-08,21.24,0.139,0.113,23.0088,1.0,-6.5693,-9.4891,-6.5693
00821,2026-05-08,30.43,0.455,0.23,97.8261,4.0,-16.6667,-21.2121,-19.697
00821,2026-05-08,47.83,0.455,0.23,97.8261,4.0,-16.6667,-21.2121,-19.697
00821,2026-05-08,58.70,0.455,0.23,97.8261,4.0,-16.6667,-21.2121,-19.697
00821,2026-05-08,73.91,0.455,0.23,97.8261,4.0,-16.6667,-21.2121,-19.697
08160,2026-05-08,23.53,0.63,0.51,23.5294,1.0,-3.2258,-3.2258,12.9032
01500,2026-05-11,38.64,0.345,0.22,56.8182,2.0,5.2632,5.2632,0.0
01500,2026-05-11,56.82,0.345,0.22,56.8182,2.0,5.2632,5.2632,0.0
00048,2026-05-11,46.43,0.445,0.28,58.9286,2.0,-3.6585,0.0,-12.1951
01087,2026-05-11,32.35,1.04,0.68,52.9412,2.0,-26.5957,-23.4043,-8.5106
00048,2026-05-11,57.14,0.445,0.28,58.9286,2.0,-3.6585,0.0,-12.1951
01087,2026-05-11,42.65,1.04,0.68,52.9412,2.0,-26.5957,-23.4043,-8.5106
01803,2026-05-12,55.56,0.18,0.09,100.0,5.0,-29.2453,-32.0755,-36.7925
01013,2026-05-12,37.50,1.26,0.8,57.5,2.0,-6.4516,-26.8817,-46.2366
01013,2026-05-12,50.00,1.26,0.8,57.5,2.0,-6.4516,-26.8817,-46.2366
00471,2026-05-12,21.30,0.22,0.169,30.1775,1.0,-12.844,-22.9358,-24.7706
01631,2026-05-13,77.19,1.33,0.57,133.3333,6.0,25.7576,8.3333,18.1818
01631,2026-05-13,89.47,1.33,0.57,133.3333,6.0,25.7576,8.3333,18.1818
06968,2026-05-13,39.56,0.18,0.091,97.8022,4.0,32.716,14.1975,8.642
06968,2026-05-13,52.75,0.18,0.091,97.8022,4.0,32.716,14.1975,8.642
06968,2026-05-13,63.74,0.18,0.091,97.8022,4.0,32.716,14.1975,8.642
06968,2026-05-13,78.02,0.18,0.091,97.8022,4.0,32.716,14.1975,8.642
01631,2026-05-13,107.02,1.33,0.57,133.3333,6.0,25.7576,8.3333,18.1818
06080,2026-05-13,28.05,0.239,0.164,45.7317,2.0,-6.3107,-15.534,-19.9029
06080,2026-05-13,40.24,0.239,0.164,45.7317,2.0,-6.3107,-15.534,-19.9029
01722,2026-05-13,28.21,0.113,0.078,44.8718,2.0,-17.9245,-24.5283,-18.8679
08450,2026-05-13,31.35,0.315,0.185,70.2703,3.0,-21.6393,-22.623,-1.6393
01722,2026-05-13,39.74,0.113,0.078,44.8718,2.0,-17.9245,-24.5283,-18.8679
08450,2026-05-13,43.24,0.315,0.185,70.2703,3.0,-21.6393,-22.623,-1.6393
01631,2026-05-13,121.05,1.33,0.57,133.3333,6.0,25.7576,8.3333,18.1818
06968,2026-05-13,92.31,0.18,0.091,97.8022,4.0,32.716,14.1975,8.642
03321,2026-05-13,20.48,1.08,0.83,30.1205,1.0,91.6667,33.3333,28.7037
08221,2026-05-13,34.46,1.99,1.48,34.4595,1.0,23.4568,40.7407,29.6296
08120,2026-05-13,33.33,1.03,0.72,43.0556,2.0,76.7677,160.6061,111.1111
02231,2026-05-13,73.53,0.067,0.034,97.0588,4.0,-52.2388,-55.2239,-71.6418
08450,2026-05-13,54.05,0.315,0.185,70.2703,3.0,-21.6393,-22.623,-1.6393
01741,2026-05-13,22.89,0.3,0.201,49.2537,2.0,1.6667,-18.3333,-28.6667
02231,2026-05-13,94.12,0.067,0.034,97.0588,4.0,-52.2388,-55.2239,-71.6418
