code5,name,scan_date,appearance_seq,days_since_first,entry_close,entry_intraday,entry_intraday_note,price_missing,days_available,ret_t5,ret_t10,ret_t20,ret_t60,max_ret_20,min_ret_20,ret_t5_est,ret_t10_est,ret_t20_est,ret_t60_est,max_ret_20_est,min_ret_20_est,has_capital_action,fu_go,fu_rights,fu_placing,fu_consolidation,fu_cb,first_action_type,first_action_days,mcap,ratio,turnover_to_mcap,has_broker_shot,ccass_asof_date,ccass_top10_pct,ccass_top5_pct,ccass_top10_delta,ccass_window_days,ccass_suspect_denominator,concentration_rising,hd_top10_pct_of_ccass,hd_asof_date,hd_top10_delta,dump_asof_date,dump_c10_shares,dump_issued_shares,dump_top10_pct_of_issued,dump_top10_pct_of_issued_raw,dump_top10_delta_shares,dump_window_days,dump_concentration_rising,dump_corp_action_in_window,dump_issued_missing,dump_top10_x_appearance,dump_top10_x_mcap,board,recurrence,prior_go_365d,prior_rights_365d,prior_rights_180d,prior_placing_365d,prior_placing_180d,prior_consolidation_365d,prior_consolidation_180d,prior_change_of_control,feature_cutoff,led_to_go_180d,led_to_perform,led_to_rights_180d
01716,毛記葵湧,2025-08-08,1,0,0.58,0.58,eod_proxy,0,266,8.6207,17.2414,-8.6207,-13.7931,17.2414,-12.069,0,0,0,0,0,0,0,0,0,0,0,0,,,156600000.0,130.75,2.28,0,,,,,,,,,,,2025-08-06,70391120.0,270000000.0,26.0708,26.0708,782000.0,86.0,0.5,0,0,20-40%×1,20-40%×1-3億,,0,0,0,0,0,0,0,0,0,2025-08-08,0,False,0
01716,毛記葵湧,2025-11-19,2,103,0.56,0.56,eod_proxy,0,196,12.5,8.9286,0.0,91.0714,16.0714,-3.5714,0,0,0,0,0,0,1,1,0,0,0,0,GO,113.0,151200000.0,11.15,0.37,0,,,,,,,,,,,2025-11-17,70865743.0,270000000.0,26.2466,26.2466,1256623.0,156.0,0.5,0,0,20-40%×2,20-40%×1-3億,,1,0,0,0,0,0,0,0,0,2025-11-19,1,True,0
01716,毛記葵湧,2026-03-13,3,217,1.66,1.66,eod_proxy,0,120,86.747,116.2651,140.9639,249.3976,187.9518,73.494,0,0,0,0,0,0,1,0,0,1,0,0,PLACING,116.0,448200000.0,88.94,31.28,1,,,,,,,,,,,,,,,,,,,0,0,unknown,unknown,,1,1,0,0,0,0,0,0,0,2026-03-13,0,True,0
01718,宏基集團控股,2025-07-10,1,0,0.224,0.224,eod_proxy,0,287,11.6071,13.8393,11.1607,22.7679,18.3036,0.8929,0,0,0,0,0,0,0,0,0,0,0,0,,,68122880.0,14.81,1.7,0,,,,,,,,,,,2025-07-08,182919270.0,304120000.0,60.1471,60.1471,107094000.0,65.0,1.0,0,0,>=60%×1,>=60%×<1億,,0,0,0,0,0,0,0,0,0,2025-07-10,0,True,0
01718,宏基集團控股,2025-07-17,2,7,0.25,0.25,eod_proxy,0,282,2.0,0.0,-4.0,-0.4,6.0,-4.8,0,0,0,0,0,0,0,0,0,0,0,0,,,76030000.0,12.35,4.72,0,,,,,,,,,,,2025-07-15,179248770.0,304120000.0,58.9401,58.9401,103423500.0,70.0,1.0,0,0,40-60%×2,40-60%×<1億,,1,0,0,0,0,0,0,0,0,2025-07-17,0,False,0
01718,宏基集團控股,2025-09-12,3,64,0.305,0.305,eod_proxy,0,241,-4.918,-13.1148,-16.3934,6.5574,3.2787,-24.2623,0,0,0,0,0,0,1,0,0,1,0,0,PLACING,144.0,92756600.0,16.17,1.89,0,,,,,,,,,,,2025-09-10,171719770.0,304120000.0,56.4645,56.4645,95894500.0,111.0,1.0,0,0,40-60%×3-4,40-60%×<1億,,1,0,0,0,0,0,0,0,0,2025-09-12,0,True,0
01718,宏基集團控股,2025-11-13,4,126,0.295,0.295,eod_proxy,0,200,32.2034,15.2542,11.8644,64.4068,59.322,-1.6949,0,0,0,0,0,0,1,0,0,1,0,0,PLACING,82.0,89715400.0,36.77,2.86,1,,,,,,,,,,,2025-11-11,174726270.0,304120000.0,57.4531,57.4531,98901000.0,152.0,1.0,0,0,40-60%×3-4,40-60%×<1億,,1,0,0,0,0,0,0,0,0,2025-11-13,0,True,0
01718,宏基集團控股,2025-11-14,5,127,0.405,0.405,eod_proxy,0,199,-3.7037,-14.8148,-22.2222,8.642,16.0494,-28.3951,0,0,0,0,0,0,1,0,0,1,0,0,PLACING,81.0,123168600.0,12.53,3.31,1,,,,,,,,,,,2025-11-12,174741270.0,304120000.0,57.458,57.458,98916000.0,153.0,1.0,0,0,40-60%×>=5,40-60%×1-3億,,1,0,0,0,0,0,0,0,0,2025-11-14,0,True,0
01718,宏基集團控股,2026-01-09,6,183,0.3,0.3,eod_proxy,0,162,-10.0,10.0,3.3333,18.3333,16.6667,-22.3333,0,0,0,0,0,0,1,0,0,1,0,0,PLACING,25.0,91236000.0,18.4,2.23,1,,,,,,,,,,,2025-12-24,195580770.0,304120000.0,64.3104,64.3104,119755500.0,183.0,1.0,0,0,>=60%×>=5,>=60%×<1億,,1,0,0,0,0,0,0,0,0,2026-01-09,0,True,0
01718,宏基集團控股,2026-01-22,7,196,0.35,0.35,eod_proxy,0,153,-11.4286,-11.4286,11.4286,-2.8571,38.5714,-18.5714,0,0,0,0,0,0,1,0,0,1,0,0,PLACING,12.0,106442000.0,18.65,9.99,1,,,,,,,,,,,2025-12-24,195580770.0,304120000.0,64.3104,64.3104,119755500.0,183.0,1.0,0,0,>=60%×>=5,>=60%×1-3億,,1,0,0,0,0,0,0,0,0,2026-01-22,0,False,0
