"編號","名稱","資產淨值","資產淨值+ 殼價","市值","流通市值","理論價","現價","溢價/折讓","內資股(佔比)","最近3年盈利","CCASS頭5+ 非流通 ","券商數目","上市日","招股價","行業"
01703.hk,誼和股份,2.3千萬,3.2億,4.5千萬,4.1千萬,2.34,0.32,-86.54%,-,-3.1百萬,46.3%,112,2019/02/15,0.5,飲食酒店及旅遊
00426.hk,萬華媒體,-8.8千萬,2.1億,4.4千萬,1.1千萬,0.53,0.11,-79.22%,-,-7.4千萬,90.17%,101,2005/10/18,1.2,影視及傳媒
00747.hk,瀋陽公用發展股份,2.1億,5.1億,4.4千萬,4.3千萬,0.35,0.07,-79.41%,-,-3.9億,47.07%,156,1999/12/16,1.7,地產
08309.hk,萬成環球控股,1.2億,2.2億,4.4千萬,1.7千萬,0.37,0.07,-80.20%,-,8.9百萬,83.99%,73,2017/04/13,0.32,N/A
00138.hk,中建富通,3.6億,6.6億,4.3千萬,9.6百萬,4.11,0.27,-93.44%,-,-13.0億,89.26%,239,1991/11/11,N/A,零售及貿易
08462.hk,中安控股集團,N/A,N/A,4.3千萬,4.1千萬,N/A,0.07,N/A,-,5.1百萬,75.34%,104,2017/07/17,0.45,N/A
08545.hk,佰悅集團,1.9億,2.9億,4.3千萬,4.3千萬,0.25,0.04,-85.36%,-,-1.6百萬,59.8%,123,2018/05/31,0.35,N/A
01842.hk,植華集團,9.6千萬,4.0億,4.3千萬,2.8千萬,0.33,0.04,-89.09%,-,-2.9千萬,71.08%,115,2019/06/28,0.5,N/A
00162.hk,世紀金花,2.2億,5.2億,4.2千萬,2.8千萬,0.46,0.04,-91.22%,-,-15.4億,75.87%,138,2000/10/23,0.8,零售及貿易
00602.hk,佳華百貨控股,-2.1億,9.2千萬,4.2千萬,1.2千萬,0.09,0.04,-53.89%,-,-3.0億,86.7%,138,2007/05/21,1.04,零售及貿易
00682.hk,超大現代,2.0億,5.0億,4.2千萬,3.6千萬,2.55,0.21,-91.57%,-,-4.1千萬,55.04%,197,2000/12/15,1.52,食品及飲料製造
