"編號","名稱","資產淨值","資產淨值+ 殼價","市值","流通市值","理論價","現價","溢價/折讓","內資股(佔比)","最近3年盈利","CCASS頭5+ 非流通 ","券商數目","上市日","招股價","行業"
02185.hk,百心安－Ｂ,5.1億,8.1億,4.6億,4.6億,3.31,1.80,-45.49%,-,-3.6億,72.91%,128,2021/12/23,21.25,保健及生物科技
02438.hk,出門問問,2.7億,5.7億,4.6億,3.3億,0.37,0.31,-16.10%,-,-17.3億,71.13%,161,2024/04/24,3.8,科技
00519.hk,諾科達科技,7.7億,10.7億,4.5億,2.8億,0.35,0.15,-58.19%,-,-8.5千萬,72.9%,176,1986/03/24,N/A,地產
00825.hk,新世界百貨中國,35.7億,38.7億,4.5億,1.2億,2.29,0.27,-88.22%,-,-2.8億,88.74%,189,2007/07/12,5.8,零售及貿易
01661.hk,中國前沿科技集團,3.4億,6.4億,4.5億,3.5億,3.38,2.40,-29.23%,-,-1.9億,60.96%,166,2013/07/11,2.11,其他
01777.hk,花樣年控股,-8.5百億,-8.5百億,4.5億,N/A,N/A,0.09,N/A,-,-2.6百億,N/A,245,2009/11/25,2.18,地產
02033.hk,時計寶,22.3億,25.3億,4.5億,4.5億,1.23,0.22,-82.11%,-,5.3千萬,86.37%,141,2013/02/05,1.35,零售及貿易
08026.hk,朗華國際集團,3.5億,4.5億,4.5億,4.3億,0.29,0.29,0.70%,-,-5.9千萬,81.04%,110,2000/03/28,4.5,N/A
08041.hk,中微智碼,1.7千萬,1.2億,4.5億,4.1億,0.14,0.53,270.58%,-,-1.2千萬,89.57%,123,2000/07/07,1.78,N/A
01569.hk,民生教育,50.9億,53.9億,4.5億,2.2億,1.28,0.10,-91.86%,-,-6.7億,85.03%,127,2017/03/22,1.38,N/A
02683.hk,華新手袋國際控股,3.3億,6.3億,4.5億,1.2億,1.55,1.09,-29.23%,-,9.3千萬,86.99%,103,2018/01/22,1.18,紡織及服飾製造
02003.hk,維信金科,45.9億,48.9億,4.5億,4.5億,10.00,0.91,-90.90%,-,0.0,85.14%,130,2018/06/21,20.0,金融證券
02540.hk,樂思集團,9.1億,12.1億,4.5億,1.7億,2.01,0.75,-62.71%,-,1.9億,91.62%,76,2024/03/08,1.1,影視及傳媒
02625.hk,江蘇宏信,8.4億,11.4億,4.5億,3.5億,4.83,2.00,-58.63%,-,1.4億,93.92%,68,2025/03/31,2.5,零售及貿易
00097.hk,恒基發展,9.9億,12.9億,4.4億,1.3億,0.42,0.14,-66.31%,-,-2.6億,83.13%,198,1972/11/06,N/A,零售及貿易
00458.hk,聯亞集團,13.3億,16.3億,4.4億,4.1億,5.95,1.60,-73.11%,-,4.5億,94.02%,64,1988/01/06,N/A,紡織及服飾製造
00698.hk,通達集團,29.4億,32.4億,4.4億,2.6億,16.62,2.08,-87.48%,-,-50.5億,67.12%,227,2000/12/22,1.0,電子
00717.hk,英皇資本,36.6億,39.6億,4.4億,2.7億,0.59,0.07,-88.43%,-,5.3千萬,66.42%,235,2007/04/24,0.38,金融證券
01023.hk,時代集團控股,9.7千萬,4.0億,4.4億,4.4億,0.41,0.47,13.21%,-,1.3億,83.62%,111,2011/12/06,2.95,紡織及服飾製造
01037.hk,雲智匯科技,4.7億,7.7億,4.4億,2.6億,1.09,0.62,-42.76%,-,-4.8千萬,71.45%,169,1994/04/14,1.17,科技
01808.hk,企展控股,6.0億,9.0億,4.4億,4.4億,3.66,2.06,-43.70%,-,2.5億,61.79%,192,2007/01/11,1.66,N/A
03882.hk,天彩控股,1.1千萬,3.1億,4.4億,3.1億,0.31,0.44,42.65%,-,-1.9億,75.01%,120,2015/07/02,3.38,工業
06038.hk,信越控股,3.0億,6.0億,4.4億,1.0億,0.60,0.44,-26.19%,-,1.6億,90.49%,96,2017/06/13,0.41,建築及建築材料
02500.hk,啓明醫療－Ｂ,20.5億,23.5億,4.4億,4.3億,5.33,1.00,-81.25%,-,-19.9億,53.21%,168,2019/12/10,33.0,保健及生物科技
02257.hk,聖諾醫藥－Ｂ,-8.1千萬,2.2億,4.4億,4.3億,1.96,3.95,101.94%,-,-11.3億,57.22%,127,2021/12/30,65.9,保健及生物科技
00169.hk,萬達酒店發展,18.3億,21.3億,4.3億,1.5億,0.45,0.09,-80.61%,-,13.5億,87.41%,164,2002/06/04,1.0,飲食酒店及旅遊
00360.hk,新焦點,4.0億,7.0億,4.3億,3.9億,0.04,0.03,-31.22%,-,-3.1億,80.29%,157,2005/02/28,0.94,工業
00567.hk,金安智能,5.0千萬,3.5億,4.3億,4.3億,0.22,0.27,24.45%,-,-3.3千萬,75.64%,153,1990/01/31,N/A,工業
01271.hk,佳明集團控股,23.8億,26.8億,4.3億,3.6億,1.88,0.30,-84.08%,-,6.4百萬,94.31%,81,2013/08/09,1.11,地產
01622.hk,力高集團,-60.4億,-57.4億,4.3億,1.7億,N/A,0.11,N/A,-,-79.3億,89.88%,113,2014/01/30,2.5,地產
02329.hk,國瑞健康,94.4億,97.4億,4.3億,3.2億,2.19,0.10,-95.62%,-,-39.7億,86.98%,99,2014/07/07,2.38,地產
01327.hk,勵時集團,3.4千萬,3.3億,4.3億,4.0億,1.29,1.65,27.83%,-,-1.2億,83.14%,148,2015/01/30,1.1,零售及貿易
01617.hk,南方通信,9.9億,12.9億,4.3億,3.9億,0.79,0.28,-64.65%,-,8.2千萬,78.79%,150,2016/12/12,1.02,N/A
01832.hk,海天地悅旅,1.4億,4.4億,4.3億,8.6千萬,1.22,1.21,-1.14%,-,-4.6億,96.07%,78,2019/05/16,3.54,飲食酒店及旅遊
01945.hk,清科控股,7.4億,10.4億,4.3億,2.1億,3.52,1.45,-58.97%,-,1.1億,73.95%,167,2020/12/30,11.0,金融證券
00366.hk,陸氏集團（越南）,23.1億,26.1億,4.2億,1.3億,5.21,0.81,-84.35%,-,-6.1千萬,85.56%,155,1987/01/07,N/A,建築及建築材料
00439.hk,瀚源控股,27.7億,30.7億,4.2億,4.0億,4.98,0.69,-86.14%,-,-2.0億,67.96%,204,1992/03/11,N/A,科技
00673.hk,中國衛生集團,5.3千萬,3.5億,4.2億,1.8億,0.25,0.30,19.95%,-,-1.1億,81.84%,186,1996/10/14,1.0,保健及生物科技
00731.hk,建發新勝,1.0億,4.0億,4.2億,1.3億,0.29,0.30,5.24%,-,-1.8億,85.88%,143,1995/12/01,1.28,工業
02239.hk,國微控股,9.8億,12.8億,4.2億,4.2億,3.93,1.30,-66.93%,-,-4.5億,81.93%,79,2016/03/30,3.78,科技
08350.hk,立橋證券控股,1.4億,2.4億,4.2億,4.1億,0.25,0.43,69.79%,-,5.9千萬,94.42%,71,2018/01/12,0.4,N/A
06908.hk,宏光半導體,7.1億,10.1億,4.2億,3.9億,0.86,0.35,-58.90%,-,-4.6億,68.1%,161,2016/12/30,0.63,工業
01936.hk,利特米,1.6億,4.6億,4.2億,8.8千萬,0.98,0.91,-7.26%,-,2.9千萬,93.93%,89,2020/05/13,1.0,食品及飲料製造
02205.hk,康橋悅生活,8.0億,11.0億,4.2億,1.2億,1.57,0.60,-61.80%,-,5.3千萬,94.64%,74,2021/07/16,3.68,地產
00111.hk,信達國際控股,10.6億,13.6億,4.1億,4.1億,2.13,0.65,-69.67%,-,7.8千萬,78.51%,140,2000/08/01,1.0,金融證券
00235.hk,中策資本控股,21.8億,24.8億,4.1億,3.4億,0.12,0.02,-83.57%,-,1.8千萬,53.25%,279,1972/12/04,N/A,金融證券
00236.hk,香港生力啤,7.1億,10.1億,4.1億,1.0億,2.70,1.08,-60.06%,-,1.4億,88.26%,118,N/A,N/A,食品及飲料製造
00367.hk,莊士機構國際,73.3億,76.3億,4.1億,1.9億,4.56,0.24,-94.65%,-,-15.2億,68.24%,190,1987/01/16,N/A,地產
00641.hk,中國恒天立信國際,10.5億,13.5億,4.1億,1.7億,1.22,0.37,-69.76%,-,-3.5億,89.85%,101,1990/10/12,N/A,工業
02336.hk,碩奧國際,3.8億,6.8億,4.1億,1.7億,0.38,0.23,-39.39%,-,-2.7千萬,85.06%,119,2003/03/03,0.5,金屬及採礦
08049.hk,吉林長龍藥業,21.1億,22.1億,4.1億,3.1億,3.94,2.35,-40.39%,-,5.8億,63.72%,84,2001/05/24,0.5,N/A
08246.hk,中華燃氣,1.9億,2.9億,4.1億,8.7千萬,0.49,0.76,56.16%,-,-7.5千萬,90.0%,82,2011/12/30,0.72,N/A
01631.hk,REF HOLDINGS,1.1億,4.1億,4.1億,1.6億,1.33,1.35,1.38%,-,2.0千萬,90.65%,77,2015/09/25,0.75,工業
01719.hk,中國通商集團,8.1億,11.1億,4.1億,4.1億,0.64,0.24,-63.02%,-,3.9千萬,96.06%,96,2005/09/16,0.6,物流運輸
02680.hk,南強控股,2.0億,5.0億,4.1億,4.1億,8.31,6.91,-16.85%,-,-3.4千萬,88.84%,109,2018/09/14,1.8,金融證券
02101.hk,福祿控股,14.2億,17.2億,4.1億,1.8億,4.24,1.03,-75.58%,-,1.5億,90.28%,136,2020/09/18,8.9,科技
02396.hk,青城新藥－Ｂ,6.5億,9.5億,4.1億,4.1億,8.05,4.88,-39.42%,-,-5.7億,87.68%,100,2025/12/22,38.2,保健及生物科技
00090.hk,普星能量,10.6億,13.6億,4.0億,4.0億,2.96,0.86,-70.75%,-,1.8億,86.22%,119,2009/07/10,1.66,公用事業
00114.hk,HERALD HOLD,6.1億,9.1億,4.0億,2.7億,1.50,0.67,-55.40%,-,1.8千萬,88.83%,137,N/A,N/A,工業
00219.hk,順豪物業,68.9億,71.9億,4.0億,1.9億,12.40,0.69,-94.39%,-,-5.4億,79.21%,166,1973/05/10,N/A,飲食酒店及旅遊
00244.hk,先施,-1.3千萬,2.9億,4.0億,3.9億,0.22,0.30,39.70%,-,-1.5億,91.94%,122,N/A,N/A,零售及貿易
01303.hk,滙力資源,12.5億,15.5億,4.0億,2.7億,0.74,0.18,-75.59%,-,3.7億,83.5%,99,2012/01/12,1.7,金屬及採礦
01399.hk,銳信控股,12.8億,15.8億,4.0億,2.1億,1.45,0.37,-74.44%,-,3.3千萬,79.07%,155,2006/12/21,2.02,電子
01599.hk,城建設計,92.7億,95.7億,4.0億,4.0億,7.10,1.02,-85.63%,-,20.8億,52.55%,125,2014/07/08,2.75,建築及建築材料
08521.hk,智雲國際控股,1.7億,2.7億,4.0億,2.7億,0.42,0.64,51.84%,-,-2.0千萬,93.49%,64,2018/05/16,0.58,N/A
02230.hk,羚邦集團,6.4億,9.4億,4.0億,1.1億,0.47,0.20,-57.89%,-,1.0億,88.36%,135,2019/05/21,0.45,影視及傳媒
02187.hk,智欣集團控股,4.5億,7.5億,4.0億,1.6億,0.83,0.45,-45.87%,-,-1.3億,80.64%,107,2021/03/26,1.5,建築及建築材料
09982.hk,中原建業,36.2億,39.2億,4.0億,2.6億,0.84,0.09,-89.70%,-,3.4億,74.28%,166,2021/05/31,3.0,建築及建築材料
02177.hk,優趣匯控股,7.7億,10.7億,4.0億,2.4億,6.43,2.40,-62.70%,-,4.7千萬,95.19%,114,2021/07/12,11.86,科技
02457.hk,步陽國際,4.8億,7.8億,4.0億,10.0千萬,0.78,0.40,-48.62%,-,7.8千萬,97.72%,75,2022/12/15,0.5,工業
00228.hk,中能控股,22.2億,25.2億,3.9億,1.1億,5.52,0.85,-84.59%,-,1.2億,81.04%,184,2002/02/18,0.2,石油化工
00229.hk,利民實業,6.5億,9.5億,3.9億,2.2億,1.90,0.77,-59.48%,-,1.6億,73.67%,123,1984/11/22,N/A,工業
00377.hk,中國華君,-1.4百億,-1.4百億,3.9億,2.9億,N/A,4.45,N/A,-,-45.5億,91.23%,114,1993/04/19,N/A,N/A
01098.hk,路勁,35.2億,38.2億,3.9億,2.6億,5.10,0.54,-89.50%,-,-1.4百億,84.71%,174,1996/07/04,8.4,地產
01868.hk,同方友友,18.1億,21.1億,3.9億,2.0億,1.01,0.18,-81.67%,-,7.7千萬,87.51%,170,2006/12/15,6.9,工業
01786.hk,鐵建裝備,71.9億,74.9億,3.9億,3.8億,4.93,0.70,-85.69%,-,4.6億,57.47%,150,2015/12/16,5.25,工業
01608.hk,偉能集團,13.8億,16.8億,3.9億,3.8億,0.25,0.06,-77.37%,-,-32.9億,89.59%,128,2016/11/24,2.88,公用事業
01601.hk,中關村科技租賃,38.0億,41.0億,3.9億,3.9億,2.54,0.75,-70.47%,-,8.8億,86.26%,103,2020/01/21,1.52,金融證券
00037.hk,遠東酒店實業,2.9億,5.9億,3.8億,2.2億,0.79,0.51,-35.41%,-,-6.8千萬,73.0%,158,1979/07/03,N/A,飲食酒店及旅遊
00078.hk,REGAL INT'L,55.0億,58.0億,3.8億,2.8億,6.46,0.46,-92.95%,-,-57.0億,83.99%,198,N/A,N/A,飲食酒店及旅遊
00320.hk,金寶通,14.5億,17.5億,3.8億,2.2億,2.07,0.45,-78.28%,-,1.8億,74.38%,131,2006/10/09,2.28,電子
02023.hk,中國綠島科技,7.0億,10.0億,3.8億,3.8億,2.02,0.73,-63.69%,-,1.7億,92.34%,88,2013/10/11,0.8,工業
01753.hk,兌吧,14.1億,17.1億,3.8億,3.4億,1.59,0.46,-71.04%,-,-1.3億,78.25%,179,2019/05/07,6.0,影視及傳媒
06093.hk,和泓服務,6.7億,9.7億,3.8億,3.3億,1.73,0.68,-60.75%,-,7.2千萬,94.51%,42,2019/07/12,1.28,地產
01401.hk,未來機器有限公司,6.3億,9.3億,3.8億,3.7億,0.62,0.25,-59.47%,-,9.9千萬,62.94%,125,2019/11/13,0.5,科技
02528.hk,尚晉國際控股,2.1億,5.1億,3.8億,9.4千萬,1.28,0.93,-27.85%,-,-3.6千萬,91.87%,67,2020/01/13,2.0,零售及貿易
09983.hk,建業新生活,22.0億,25.0億,3.8億,3.8億,1.93,0.29,-84.95%,-,-2.3億,82.28%,160,2020/05/15,6.85,地產
02440.hk,迷策略,3.3億,6.3億,3.8億,3.3億,1.51,0.89,-41.05%,-,-2.3億,83.33%,128,2022/12/12,2.73,N/A
02551.hk,晶科電子股份,15.4億,18.4億,3.8億,3.8億,3.43,1.50,-56.36%,-,2.5億,93.21%,94,2024/11/08,3.61,工業
00252.hk,華信地產財務,11.6億,14.6億,3.7億,2.1億,6.48,1.62,-75.01%,-,3.1千萬,96.73%,52,N/A,N/A,工業
01159.hk,智數科技集團,-1.5億,1.5億,3.7億,2.7億,1.06,2.58,143.21%,-,1.3億,67.94%,135,1998/03/13,0.7,影視及傳媒
01371.hk,中國生態旅遊,-1.7百億,-1.6百億,3.7億,1.5千萬,N/A,1.07,N/A,-,-5.6億,98.81%,242,2001/10/26,0.24,飲食酒店及旅遊
01623.hk,海隆控股,34.6億,37.6億,3.7億,3.0億,2.21,0.23,-89.84%,-,-1.7億,75.01%,169,2011/04/21,2.6,石油化工
08189.hk,泰達生物,1.5千萬,1.1億,3.7億,3.4億,0.05,0.26,373.56%,-,-1.5億,62.69%,95,2002/06/18,0.98,N/A
01556.hk,建業建榮,8.8億,11.8億,3.7億,9.1千萬,0.79,0.25,-68.40%,-,3.8億,84.25%,135,2015/11/11,0.59,建築及建築材料
02031.hk,澳至尊,2.1億,5.1億,3.7億,1.6億,0.67,0.47,-30.24%,-,5.9千萬,97.73%,64,2016/09/12,0.55,保健及生物科技
01720.hk,普天通信集團,7.2億,10.2億,3.7億,3.7億,0.93,0.33,-64.94%,-,5.6千萬,86.11%,123,2017/11/09,0.66,N/A
02885.hk,彼岸控股,2.6億,5.6億,3.7億,9.2千萬,1.41,0.92,-34.84%,-,-3.3百萬,90.79%,84,2019/01/11,1.25,電子
06677.hk,遠洋服務,8.4億,11.4億,3.7億,1.7億,0.97,0.31,-67.90%,-,-14.5億,85.02%,132,2020/12/17,5.88,地產
00039.hk,中國北大荒,2.6億,5.6億,3.6億,2.6億,0.07,0.04,-35.09%,-,-6.7億,68.5%,174,2001/01/16,1.0,食品及飲料製造
00311.hk,聯泰控股,12.9億,15.9億,3.6億,1.3億,1.54,0.35,-77.27%,-,-2.8億,96.24%,106,2004/07/15,2.975,紡織及服飾製造
00690.hk,聯康生物科技集團,4.5億,7.5億,3.6億,3.0億,0.13,0.06,-50.50%,-,2.5億,63.0%,195,2001/11/12,1.0,保健及生物科技
00979.hk,綠色能源科技集團,3.5千萬,3.4億,3.6億,1.3億,0.25,0.26,3.16%,-,-3.9千萬,81.39%,207,1997/06/26,1.65,N/A
01011.hk,泰凌醫藥,-1.3億,1.7億,3.6億,2.0億,0.18,0.38,111.21%,-,-2.4億,90.58%,196,2011/04/20,4.54,保健及生物科技
03623.hk,中國金融發展,3.7億,6.7億,3.6億,3.2億,1.06,0.56,-46.59%,-,-1.1億,79.37%,116,2013/11/13,2.68,金融證券
03778.hk,中國織材控股,7.6億,10.6億,3.6億,1.3億,8.47,2.90,-65.68%,-,-4.9千萬,89.61%,50,2011/12/22,0.7,紡織及服飾製造
08120.hk,國農金融投資,4.3千萬,1.4億,3.6億,2.9億,0.88,2.20,150.03%,-,-1.1億,74.77%,163,2001/04/10,0.55,N/A
06118.hk,奧星生命科技,9.6億,12.6億,3.6億,1.2億,2.45,0.69,-72.08%,-,-7.0千萬,83.28%,148,2014/11/07,3.12,保健及生物科技
00722.hk,聯合醫務,7.5億,10.5億,3.6億,1.7億,1.29,0.45,-65.14%,-,1.3億,83.42%,111,2015/11/27,2.06,保健及生物科技
06083.hk,環宇物流（亞洲）,1.1億,4.1億,3.6億,3.2億,0.81,0.69,-14.70%,-,5.7千萬,84.6%,95,2015/12/29,0.5,物流運輸
08507.hk,愛世紀集團,1.7千萬,1.2億,3.6億,3.3億,0.15,0.40,173.97%,-,-1.7千萬,81.56%,105,2018/04/16,0.58,N/A
02131.hk,云想科技,10.6億,13.6億,3.6億,3.3億,1.70,0.46,-73.30%,-,-1.9億,72.48%,184,2020/12/17,6.98,影視及傳媒
02325.hk,雲康集團,13.4億,16.4億,3.6億,3.5億,2.65,0.57,-78.47%,-,-9.5億,81.86%,91,2022/05/18,7.89,保健及生物科技
00124.hk,粵海置地,32.9億,35.9億,3.5億,2.0億,2.10,0.20,-90.28%,-,-44.2億,65.22%,263,1997/08/08,1.8,地產
00202.hk,潤中國際控股,9.5億,12.5億,3.5億,2.1億,0.17,0.05,-71.95%,-,-5.6億,92.75%,183,N/A,N/A,食品及飲料製造
00227.hk,第一上海,24.5億,27.5億,3.5億,1.6億,1.26,0.15,-87.75%,-,-2.7千萬,79.15%,212,1972/08/24,N/A,金融證券
00608.hk,達利國際,33.5億,36.5億,3.5億,3.4億,11.96,1.12,-90.63%,-,2.8億,15.7%,59,1992/08/04,N/A,紡織及服飾製造
00852.hk,海峽石油化工,7.3億,10.3億,3.5億,1.7億,0.49,0.17,-65.93%,-,-8.9千萬,87.06%,117,2009/01/12,2.5,石油化工
01073.hk,大禹金融,6.7億,9.7億,3.5億,3.1億,0.28,0.10,-64.28%,-,-10.0千萬,93.51%,162,1999/11/25,1.2,金融證券
02226.hk,老恒和釀造,-39.2億,-36.2億,3.5億,3.0億,N/A,0.66,N/A,-,-17.0億,81.13%,141,2014/01/28,7.15,食品及飲料製造
03368.hk,百盛集團,32.9億,35.9億,3.5億,2.2億,1.36,0.13,-90.32%,-,-3.2億,80.74%,157,2005/11/30,9.8,零售及貿易
06830.hk,華眾車載,16.4億,19.4億,3.5億,7.0千萬,1.10,0.20,-81.94%,-,1.3億,89.66%,112,2012/01/12,1.4,工業
08328.hk,信義儲電,8.8億,9.8億,3.5億,1.9億,1.25,0.44,-64.86%,-,-1.7億,84.37%,178,2016/07/11,0.7,N/A
01705.hk,賓仕國際,1.5億,4.5億,3.5億,1.8億,1.13,0.87,-22.87%,-,5.1千萬,88.64%,137,2018/03/14,1.0,食品及飲料製造
01827.hk,卓珈控股,1.6億,4.6億,3.5億,3.5億,1.15,0.87,-24.08%,-,-2.0百萬,90.74%,81,2017/01/10,0.8,保健及生物科技
03860.hk,ＥＰＳ創健科技,1.2億,4.2億,3.5億,3.1億,0.72,0.54,-24.80%,-,1.7千萬,92.5%,72,2017/05/31,0.5,紡織及服飾製造
09998.hk,光榮控股,2.3億,5.3億,3.5億,8.8千萬,0.66,0.44,-33.21%,-,1.7千萬,91.69%,69,2020/01/08,0.65,建築及建築材料
02216.hk,堃博醫療－Ｂ,11.7億,14.7億,3.5億,3.0億,2.80,0.66,-76.57%,-,-4.8億,64.46%,120,2021/09/24,18.7,保健及生物科技
02250.hk,小黃鴨德盈,9.6千萬,4.0億,3.5億,2.4億,0.39,0.35,-10.83%,-,-1.8億,91.07%,121,2022/01/17,2.05,影視及傳媒
06698.hk,星空華文,29.3億,32.3億,3.5億,3.5億,8.14,0.87,-89.31%,-,-21.4億,84.51%,121,2022/12/29,26.5,影視及傳媒
00082.hk,瘋狂體育,7.1億,10.1億,3.4億,3.2億,0.22,0.07,-67.16%,-,-4.1千萬,53.53%,254,1991/10/25,N/A,影視及傳媒
00265.hk,港譽智慧城市服務,3.1億,6.1億,3.4億,2.8億,2.36,1.33,-43.62%,-,7.0千萬,89.86%,105,N/A,N/A,地產
00337.hk,綠地香港,94.2億,97.2億,3.4億,2.3億,3.48,0.12,-96.52%,-,-67.1億,76.04%,188,2006/10/10,4.78,N/A
00629.hk,悅達國際控股,5.4億,8.4億,3.4億,3.4億,0.72,0.29,-59.85%,-,5.5千萬,85.2%,94,2001/11/29,0.89,金融證券
00895.hk,東江環保,27.7億,30.7億,3.4億,3.4億,2.77,1.68,-39.63%,452.25%,-30.5億,68.9%,121,2003/01/29,0.338,工業
01813.hk,合景泰富集團,19.8億,22.8億,3.4億,1.8億,0.67,0.10,-85.29%,-,-3.3百億,76.24%,247,2007/07/03,7.28,地產
02700.hk,格林國際控股,3.7千萬,3.4億,3.4億,1.3億,0.51,0.55,7.71%,-,-1.5千萬,95.01%,128,2006/09/29,1.1,保健及生物科技
06833.hk,興科蓉醫藥,8.1億,11.1億,3.4億,3.2億,0.54,0.17,-69.52%,-,1.3億,71.95%,119,2016/03/10,0.8,保健及生物科技
03638.hk,亨利加集團,2.1億,5.1億,3.4億,3.0億,6.69,4.00,-40.21%,-,-6.1千萬,86.87%,91,2013/09/09,0.9,科技
00994.hk,中天宏信,1.8億,4.8億,3.4億,3.3億,0.37,0.26,-30.78%,-,-7.8千萬,74.87%,124,2017/07/17,0.86,公用事業
02116.hk,江蘇創新,2.8億,5.8億,3.4億,8.5千萬,1.21,0.71,-41.46%,-,5.6千萬,93.01%,103,2018/03/28,1.25,石油化工
01587.hk,欣融國際,5.6億,8.6億,3.4億,8.5千萬,1.27,0.50,-60.52%,-,1.3億,91.94%,71,2018/06/27,0.75,食品及飲料製造
01825.hk,STERLING GP,-2.6千萬,2.7億,3.4億,3.1億,6.61,8.15,23.26%,-,-4.6百萬,53.18%,94,2018/10/19,0.4,紡織及服飾製造
01767.hk,TS WONDERS,1.8億,4.8億,3.4億,3.3億,0.48,0.34,-29.61%,-,1.5千萬,89.48%,82,2019/01/14,0.5,食品及飲料製造
01867.hk,標準發展集團,7.9千萬,3.8億,3.4億,8.6千萬,0.25,0.23,-9.77%,-,-7.0千萬,91.12%,91,2017/01/12,0.255,建築及建築材料
01960.hk,TBKS HLDGS,4.7千萬,3.5億,3.4億,1.2億,0.35,0.34,-0.48%,-,-7.0千萬,95.37%,75,2019/09/30,0.5,建築及建築材料
02347.hk,友和集團,2.7億,5.7億,3.4億,2.3億,1.17,0.70,-40.26%,-,4.3千萬,88.33%,90,2022/06/10,2.1,零售及貿易
02439.hk,中寶新材,8.2億,11.2億,3.4億,1.9億,0.93,0.29,-68.35%,-,2.4億,78.92%,115,2023/03/31,1.05,工業
01973.hk,天圖投資,76.2億,79.2億,3.4億,3.4億,11.42,1.97,-82.75%,-,-16.9億,80.21%,58,2023/10/06,6.5,金融證券
02649.hk,優樂賽共享,N/A,N/A,3.4億,3.4億,N/A,3.90,N/A,-,1.3億,84.94%,113,2026/03/09,11.0,工業
00021.hk,大中華控股,6.0億,9.0億,3.3億,1.0億,0.23,0.09,-59.55%,-,-2.6億,89.15%,115,N/A,N/A,地產
00137.hk,金輝集團,16.7億,19.7億,3.3億,2.3億,3.71,0.64,-82.77%,-,-1.8億,92.4%,118,1991/12/06,N/A,物流運輸
00496.hk,卡森國際,46.2億,49.2億,3.3億,2.3億,2.68,0.18,-93.35%,-,1.8億,89.64%,126,2005/10/20,2.55,工業
00767.hk,中基長壽科學,4.0億,7.0億,3.3億,2.3億,1.10,0.51,-53.89%,-,-4.9千萬,73.73%,203,1995/11/20,1.15,保健及生物科技
00827.hk,玖源集團,-2.9億,5.5百萬,3.3億,2.4億,0.00,0.04,5692.34%,-,-15.4億,59.3%,172,2003/07/10,0.4,保健及生物科技
00833.hk,華訊,7.0億,10.0億,3.3億,2.4億,2.11,0.67,-68.50%,-,2.2億,71.11%,134,2005/07/15,0.8,電子
00897.hk,位元堂,11.7億,14.7億,3.3億,3.3億,1.32,0.29,-77.64%,-,-8.3百萬,83.15%,225,1997/10/31,N/A,保健及生物科技
00943.hk,中證國際,5.6億,8.6億,3.3億,5.9千萬,0.42,0.16,-61.59%,-,-7.8億,93.38%,203,1997/06/25,1.08,工業
01130.hk,中國環境資源,4.2億,7.2億,3.3億,3.2億,1.28,0.58,-54.69%,-,-1.4億,73.1%,201,1997/06/03,1.15,零售及貿易
01132.hk,橙天嘉禾,12.9億,15.9億,3.3億,3.1億,0.57,0.11,-80.08%,-,-2.8億,82.01%,155,1994/11/23,1.93,影視及傳媒
01251.hk,華油能源,10.4億,13.4億,3.3億,3.3億,0.68,0.19,-72.68%,-,-3.9億,65.09%,156,2011/12/23,1.23,石油化工
01226.hk,中國投融資,2.9億,5.9億,3.3億,2.8億,1.44,0.80,-44.68%,-,-4.3千萬,80.25%,136,2002/09/19,0.5,金融證券
08431.hk,浩柏國際,1.4千萬,1.1億,3.3億,2.1億,0.48,1.38,185.29%,-,-3.0千萬,86.32%,105,2017/05/26,0.2,N/A
02119.hk,捷榮國際控股,5.5億,8.5億,3.3億,9.4千萬,1.18,0.46,-61.06%,-,1.5億,87.14%,155,2018/05/11,1.98,食品及飲料製造
08512.hk,凱富善集團控股,7.7億,8.7億,3.3億,9.9千萬,0.94,0.35,-62.96%,-,3.8億,91.08%,78,2018/07/19,0.295,N/A
01429.hk,天任集團,1.2億,4.2億,3.3億,3.3億,0.26,0.19,-27.06%,-,-1.4億,83.31%,127,2020/09/29,0.35,建築及建築材料
09955.hk,智雲健康,6.4億,9.4億,3.3億,3.2億,1.45,0.50,-65.61%,-,-19.3億,56.27%,130,2022/07/06,30.5,保健及生物科技
02237.hk,中國石墨,5.1億,8.1億,3.3億,1.1億,0.51,0.20,-59.71%,-,1.6千萬,88.96%,132,2022/07/18,0.325,金屬及採礦
01947.hk,美皓集團,1.2億,4.2億,3.3億,2.8億,0.70,0.55,-21.96%,-,-6.5千萬,92.19%,74,2022/12/14,0.84,保健及生物科技
02543.hk,大行科工,6.1億,9.1億,3.3億,3.3億,27.90,36.48,30.76%,-,1.6億,58.2%,118,2025/09/09,49.5,工業
00096.hk,YUSEI,12.2億,15.2億,3.2億,8.2千萬,2.38,0.51,-78.80%,-,3.0億,94.74%,53,2005/10/13,1.25,工業
00213.hk,NATIONAL ELEC H,26.5億,29.5億,3.2億,1.1億,3.23,0.35,-89.17%,-,1.4億,86.08%,127,1985/02/04,N/A,零售及貿易
00936.hk,佳兆業資本,4.2千萬,3.4億,3.2億,2.9億,0.32,0.33,2.16%,-,-1.0億,89.9%,91,2010/07/19,1.0,工業
01087.hk,威訊控股,2.3億,5.3億,3.2億,2.4億,2.21,1.35,-39.01%,-,-1.7億,85.03%,153,2010/11/16,2.8,科技
01102.hk,環能國際,3.1千萬,3.3億,3.2億,1.4億,0.12,0.11,-5.22%,-,-5.9千萬,82.79%,216,2003/02/18,0.38,建築及建築材料
