scan_date,code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time,mcap_unreliable
2025-06-26,02263,2263.HK,富石金融,0.191,-4.5,1132500,191000000.0,191000000.0,85310,13.28,0.59,10,0,0,2026-09-08 12:44:28,1
2025-06-26,01073,1073.HK,大禹金融,0.115,-8.0,792450,262045944.0,393068916.0,37200,21.3,0.2,10,0,0,2026-09-08 12:44:16,1
2025-06-26,01895,1895.HK,鑫苑服務,0.445,-2.2,2437410,263901688.0,263901688.0,95156,25.61,0.92,10,0,0,2026-09-08 12:44:25,1
2025-06-26,06882,6882.HK,東瀛遊,0.575,3.6,3453300,288908750.0,288908750.0,133682,25.83,1.2,10,0,0,2026-09-08 12:44:37,1
2025-06-26,02699,2699.HK,新明中國,11.171,19.02,2420050,293805209.0,293805209.0,135702,17.83,0.82,10,0,0,2026-09-08 12:44:32,1
2025-06-26,01822,1822.HK,中木國際,0.16,15.94,961930,315807578.0,315807578.0,48478,19.84,0.3,10,0,0,2026-09-08 12:44:24,1
2025-06-26,06866,6866.HK,佐力科創,0.281,1.81,581210,331580000.0,84300000.0,12063,48.18,0.18,10,0,0,2026-09-08 12:44:37,1
2025-06-26,01856,1856.HK,依波路,0.96,-3.03,4320260,345847212.0,345847212.0,93328,46.29,1.25,10,0,0,2026-09-08 12:44:24,1
2025-06-26,06118,6118.HK,奧星生命科技,0.7,1.45,2584140,358807400.0,358807400.0,150406,17.18,0.72,10,0,0,2026-09-08 12:44:36,1
2025-06-26,00227,227.HK,第一上海,0.39,9.86,44228130,854365163.0,854365163.0,3210399,13.78,5.18,10,0,0,2026-09-08 12:44:08,1
2025-06-26,03329,3329.HK,交銀國際,0.325,-2.99,8491240,888677400.0,888677400.0,748975,11.34,0.96,10,0,0,2026-09-08 12:44:33,1
2025-06-26,01278,1278.HK,中國新城鎮,0.099,17.86,1389320,962898395.0,962898395.0,118241,11.75,0.14,10,0,0,2026-09-08 12:44:18,1
2025-06-27,08475,8475.HK,易站綠色科技,0.071,-43.2,1139395,4839360.0,4839360.0,59470,19.16,23.54,10,0,0,2026-09-08 12:44:47,1
2025-06-27,08320,8320.HK,沛然環保,0.095,-9.52,1665360,69653050.0,69653050.0,464,3589.14,2.39,10,0,0,2026-09-08 12:44:47,1
2025-06-27,02682,2682.HK,潤利海事,0.108,20.0,3383980,108000000.0,108000000.0,30898,109.52,3.13,10,0,0,2026-09-08 12:44:46,1
2025-06-27,00185,185.HK,正商實業,0.075,0.0,667980,143504000.0,143504000.0,20056,33.31,0.47,10,0,0,2026-09-08 12:44:46,1
2025-06-27,08267,8267.HK,藍港互動,0.39,18.18,5513500,144102256.0,144102256.0,424670,12.98,3.83,10,0,0,2026-09-08 12:44:47,1
2025-06-27,01792,1792.HK,CMON,0.756,4.85,796460,187246080.0,187246080.0,29120,27.35,0.43,10,0,0,2026-09-08 12:44:46,1
2025-06-27,02031,2031.HK,澳至尊,0.36,4.35,652950,274320000.0,274320000.0,51834,12.6,0.24,10,0,0,2026-09-08 12:44:46,1
2025-06-27,01961,1961.HK,多牛科技,0.38,-2.56,1230740,279034446.0,279034446.0,40535,30.36,0.44,10,0,0,2026-09-08 12:44:46,1
2025-06-27,01636,1636.HK,中國金屬利用,0.78,122.86,2111550,349561466.0,349561466.0,50112,42.14,0.6,10,0,0,2026-09-08 12:44:46,1
2025-06-27,03389,3389.HK,亨得利,0.128,21.9,1699510,563714427.0,563714427.0,31948,53.2,0.3,10,0,0,2026-09-08 12:44:47,1
2025-06-27,02530,2530.HK,紐曼思,0.635,4.96,4520560,635000000.0,635000000.0,72705,62.18,0.71,10,0,0,2026-09-08 12:44:46,1
2025-06-27,00184,184.HK,激成投資,2.14,1.42,533230,728028000.0,728028000.0,42528,12.54,0.07,10,0,0,2026-09-08 12:44:46,1
2025-06-27,00237,237.HK,安全貨倉,1.92,6.08,1980640,777600000.0,777600000.0,65704,30.14,0.25,10,0,0,2026-09-08 12:44:46,1
2025-06-27,01846,1846.HK,德視佳,2.756,-3.5,1581540,883865736.0,883865736.0,121785,12.99,0.18,10,0,0,2026-09-08 12:44:46,1
2025-06-27,01082,1082.HK,源宇宙教育,1.52,-1.3,1015440,924231258.0,924231258.0,29505,34.42,0.11,10,0,0,2026-09-08 12:44:46,1
2025-06-30,08226,8226.HK,樹熊金融集團,0.189,26.85,6818010,78908254.0,78908254.0,352080,19.36,8.64,10,0,0,2026-09-08 12:44:48,1
2025-06-30,01695,1695.HK,椰豐集團,0.09,-3.23,648400,97200000.0,97200000.0,57420,11.29,0.67,10,0,0,2026-09-08 12:44:47,1
2025-06-30,01132,1132.HK,橙天嘉禾,0.049,16.67,3160490,137183783.0,137183783.0,12280,257.37,2.3,10,0,0,2026-09-08 12:44:47,1
2025-06-30,01473,1473.HK,環聯連訊,0.145,4.32,811470,171453987.0,171453987.0,33887,23.95,0.47,10,0,0,2026-09-08 12:44:47,1
2025-06-30,08509,8509.HK,威揚酒業控股,0.53,6.0,1112700,212000000.0,212000000.0,63440,17.54,0.52,10,0,0,2026-09-08 12:44:48,0
2025-06-30,00630,630.HK,雋泰控股,0.27,65.64,1099740,261238984.0,261238984.0,66478,16.54,0.42,10,0,0,2026-09-08 12:44:47,1
2025-06-30,01643,1643.HK,現代中藥集團,0.38,5.56,611790,273600000.0,273600000.0,50397,12.14,0.22,10,0,0,2026-09-08 12:44:47,1
2025-06-30,00328,328.HK,ALCO HOLDINGS,1.122,2.19,2863470,321331992.0,321331992.0,171678,16.68,0.89,10,0,0,2026-09-08 12:44:47,1
2025-06-30,00927,927.HK,富士高實業,0.63,14.55,768600,321933150.0,321933150.0,11778,65.26,0.24,10,0,0,2026-09-08 12:44:47,1
2025-06-30,01489,1489.HK,GC CONSTRUCTION,0.325,0.0,1476400,325000000.0,325000000.0,127810,11.55,0.45,10,0,0,2026-09-08 12:44:47,1
2025-06-30,06913,6913.HK,華南職業教育,0.26,0.0,866430,346840000.0,346840000.0,57171,15.16,0.25,10,0,0,2026-09-08 12:44:48,1
2025-06-30,00413,413.HK,南華集團控股,0.031,0.0,3268110,409860367.0,409860367.0,13598,240.34,0.8,10,0,0,2026-09-08 12:44:47,1
2025-06-30,00789,789.HK,雅天妮集團,1.55,-1.59,778300,410430119.0,410430119.0,55430,14.04,0.19,10,0,0,2026-09-08 12:44:47,1
2025-06-30,00582,582.HK,神話世界,0.134,8.94,578600,489298506.0,489298506.0,22509,25.71,0.12,10,0,0,2026-09-08 12:44:47,1
2025-06-30,00496,496.HK,卡森國際,0.36,10.77,559650,661154887.0,661154887.0,36638,15.28,0.08,10,0,0,2026-09-08 12:44:47,1
2025-06-30,02540,2540.HK,樂思集團,1.31,0.77,7259400,786000000.0,786000000.0,648290,11.2,0.92,10,0,0,2026-09-08 12:44:47,1
2025-06-30,01483,1483.HK,網譽科技,1.2,14.29,630900,983340000.0,983340000.0,10000,63.09,0.06,10,0,0,2026-09-08 12:44:47,1
2025-07-02,01621,1621.HK,域高國際控股,0.087,7.41,565400,87000000.0,87000000.0,25735,21.97,0.65,10,0,0,2026-09-08 12:44:48,1
2025-07-02,02266,2266.HK,黎氏企業,0.29,-6.45,550530,116000000.0,116000000.0,40590,13.56,0.47,10,0,0,2026-09-08 12:44:48,1
2025-07-02,08143,8143.HK,金威醫療,0.119,-10.53,728560,160978437.0,160978437.0,27361,26.63,0.45,10,0,0,2026-09-08 12:44:49,1
2025-07-02,00893,893.HK,中國鐵鈦,0.075,20.97,1827640,168676156.0,168676156.0,52485,34.82,1.08,10,0,0,2026-09-08 12:44:48,1
2025-07-02,00953,953.HK,邵氏兄弟控股,0.155,29.17,9640770,220039550.0,220039550.0,97233,99.15,4.38,10,0,0,2026-09-08 12:44:48,1
2025-07-02,00757,757.HK,陽光能源,0.081,15.71,1332400,269225462.0,269225462.0,72678,18.33,0.49,10,0,0,2026-09-08 12:44:48,1
2025-07-02,00114,114.HK,興利集團,0.49,2.08,688600,296200474.0,296200474.0,49550,13.9,0.23,10,0,0,2026-09-08 12:44:48,1
2025-07-02,01643,1643.HK,現代中藥集團,0.43,13.16,1419600,309600000.0,309600000.0,108066,13.14,0.46,10,0,0,2026-09-08 12:44:48,1
2025-07-02,01795,1795.HK,亞東集團,0.69,23.21,4178760,414000000.0,414000000.0,56535,73.91,1.01,10,0,0,2026-09-08 12:44:48,1
2025-07-02,00320,320.HK,金寶通,0.536,28.85,1182240,451601440.0,451601440.0,8788,134.53,0.26,10,0,0,2026-09-08 12:44:48,1
2025-07-02,02530,2530.HK,紐曼思,0.655,0.0,5694640,655000000.0,655000000.0,510833,11.15,0.87,10,0,0,2026-09-08 12:44:48,1
2025-07-02,03300,3300.HK,中國玻璃,0.365,15.87,1799030,670219664.0,670219664.0,171221,10.51,0.27,10,0,0,2026-09-08 12:44:49,1
2025-07-02,01346,1346.HK,利華控股集團,1.14,-4.2,62236600,728574000.0,728574000.0,925300,67.26,8.54,10,0,0,2026-09-08 12:44:48,1
2025-07-02,06136,6136.HK,康達環保,0.365,10.61,1922720,842058102.0,842058102.0,97795,19.66,0.23,10,0,0,2026-09-08 12:44:49,1
2025-07-02,00399,399.HK,星太鏈集團,0.26,26.21,36698360,852048061.0,852048061.0,310009,118.38,4.31,10,0,0,2026-09-08 12:44:48,1
2025-07-03,08092,8092.HK,ITE HOLDINGS,0.045,40.62,579740,41647860.0,41647860.0,20730,27.97,1.39,10,0,0,2026-09-08 12:44:50,1
2025-07-03,00657,657.HK,環科國際,0.028,27.27,1489980,54496795.0,54496795.0,8224,181.17,2.73,10,0,0,2026-09-08 12:44:49,1
2025-07-03,00518,518.HK,同得仕(集團),0.199,-2.93,680300,89762444.0,89762444.0,3371,201.81,0.76,10,0,0,2026-09-08 12:44:49,1
2025-07-03,00712,712.HK,卡姆丹克太陽能,0.098,13.95,2312060,103872494.0,103872494.0,65289,35.41,2.23,10,0,0,2026-09-08 12:44:49,1
2025-07-03,01165,1165.HK,順風清潔能源,0.021,31.25,1254900,106729885.0,106729885.0,70660,17.76,1.18,10,0,0,2026-09-08 12:44:49,1
2025-07-03,01671,1671.HK,天保能源,0.81,6.58,1889200,129535935.0,129535935.0,67926,27.81,1.46,10,0,0,2026-09-08 12:44:49,1
2025-07-03,08143,8143.HK,金威醫療,0.144,21.01,1805430,194797436.0,194797436.0,98747,18.28,0.93,10,0,0,2026-09-08 12:44:50,1
2025-07-03,01001,1001.HK,滬港聯合,0.315,-1.56,601100,200500119.0,200500119.0,35064,17.14,0.3,10,0,0,2026-09-08 12:44:49,1
2025-07-03,02455,2455.HK,潤華服務,0.68,15.25,2127820,204000000.0,204000000.0,11380,186.98,1.04,10,0,0,2026-09-08 12:44:49,1
2025-07-03,01631,1631.HK,REF HOLDINGS,0.67,34.0,1155000,205824000.0,205824000.0,15959,72.37,0.56,10,0,0,2026-09-08 12:44:49,1
2025-07-03,08087,8087.HK,中國三三集團,0.342,32.56,2193610,221616000.0,221616000.0,179016,12.25,0.99,10,0,0,2026-09-08 12:44:50,1
2025-07-03,01795,1795.HK,亞東集團,0.6,-13.04,5906190,360000000.0,360000000.0,472563,12.5,1.64,10,0,0,2026-09-08 12:44:49,1
2025-07-03,00970,970.HK,新耀萊,0.55,-14.06,1016510,371449194.0,371449194.0,34670,29.32,0.27,10,0,0,2026-09-08 12:44:49,1
2025-07-03,08269,8269.HK,倍升教育科技,0.435,74.7,10062380,387464418.0,387464418.0,585878,17.17,2.6,10,0,0,2026-09-08 12:44:50,1
2025-07-03,00320,320.HK,金寶通,0.546,1.87,2523340,460026840.0,460026840.0,125482,20.11,0.55,10,0,0,2026-09-08 12:44:49,1
2025-07-03,02205,2205.HK,康橋悅生活,0.68,0.0,20189880,476000000.0,476000000.0,544,37113.75,4.24,10,0,0,2026-09-08 12:44:49,1
2025-07-03,08328,8328.HK,信義儲電,0.74,12.12,569900,581294885.0,581294885.0,42177,13.51,0.1,10,0,0,2026-09-08 12:44:50,1
2025-07-03,01282,1282.HK,中澤豐,0.136,17.24,2851600,680000000.0,680000000.0,105439,27.05,0.42,10,0,0,2026-09-08 12:44:49,1
2025-07-03,00184,184.HK,激成投資,2.13,-2.29,1333760,724626000.0,724626000.0,119555,11.16,0.18,10,0,0,2026-09-08 12:44:49,1
2025-07-04,08092,8092.HK,ITE HOLDINGS,0.05,11.11,2240480,46275400.0,46275400.0,74482,30.08,4.84,10,0,0,2026-09-08 12:44:51,1
2025-07-04,01740,1740.HK,新石文化,0.055,-15.38,515100,57062500.0,57062500.0,7860,65.53,0.9,10,0,0,2026-09-08 12:44:50,1
2025-07-04,01949,1949.HK,佰達國際控股,0.35,-1.41,940630,80640000.0,80640000.0,47958,19.61,1.17,10,0,0,2026-09-08 12:44:50,1
2025-07-04,01991,1991.HK,大洋集團,0.75,19.05,2019630,129005025.0,129005025.0,136544,14.79,1.57,10,0,0,2026-09-08 12:44:50,1
2025-07-04,03368,3368.HK,百盛集團,0.07,0.0,2496690,184417258.0,184417258.0,159082,15.69,1.35,10,0,0,2026-09-08 12:44:51,1
2025-07-04,01945,1945.HK,清科控股,1.05,-12.5,6319600,308731920.0,308731920.0,204930,30.84,2.05,10,0,0,2026-09-08 12:44:50,1
2025-07-04,00583,583.HK,長城環亞控股,0.23,-0.86,541580,360581487.0,360581487.0,45608,11.87,0.15,10,0,0,2026-09-08 12:44:50,1
2025-07-04,02377,2377.HK,博奇環保,0.786,-2.48,1903800,671922066.0,671922066.0,21778,87.42,0.28,10,0,0,2026-09-08 12:44:50,1
2025-07-04,02257,2257.HK,聖諾醫藥-B,6.27,21.28,22592300,703225255.0,703225255.0,1785510,12.65,3.21,10,0,0,2026-09-08 12:44:50,1
2025-07-04,01082,1082.HK,源宇宙教育,1.5,0.0,13267560,912070320.0,912070320.0,212845,62.33,1.45,10,0,0,2026-09-08 12:44:50,1
2025-07-07,08018,8018.HK,匯財金融投資,0.038,26.67,1005670,19160852.0,19160852.0,36110,27.85,5.25,10,0,0,2026-09-08 12:44:52,1
2025-07-07,01722,1722.HK,建鵬控股,0.079,49.06,4439300,86900000.0,86900000.0,43470,102.12,5.11,10,0,0,2026-09-08 12:44:51,1
2025-07-07,01421,1421.HK,恆昌集團國際,0.5,5.26,6256000,100097600.0,100097600.0,427640,14.63,6.25,10,0,0,2026-09-08 12:44:51,1
2025-07-07,00515,515.HK,中華銀科技,0.37,37.04,6139570,105660017.0,105660017.0,424548,14.46,5.81,10,0,0,2026-09-08 12:44:51,1
2025-07-07,01025,1025.HK,嘉藝控股,0.248,5.53,10892940,110947125.0,110947125.0,278357,39.13,9.82,10,0,0,2026-09-08 12:44:51,1
2025-07-07,08450,8450.HK,鉅京控股,0.129,10.26,714040,129000000.0,129000000.0,46941,15.21,0.55,10,0,0,2026-09-08 12:44:52,1
2025-07-07,01222,1222.HK,宏安集團,0.024,4.35,1454010,324928727.0,324928727.0,101417,14.34,0.45,10,0,0,2026-09-08 12:44:51,1
2025-07-07,00673,673.HK,中國衛生集團,0.273,7.48,1459500,378688726.0,378688726.0,103819,14.06,0.39,7,1,0,2026-09-08 12:44:51,1
2025-07-07,01290,1290.HK,中國匯融,0.67,-2.9,2623120,730524450.0,730524450.0,444,5907.93,0.36,10,0,0,2026-09-08 12:44:51,1
2025-07-08,08340,8340.HK,紫荊國際金融,0.315,1.61,515450,25196850.0,25196850.0,14928,34.53,2.05,10,0,0,2026-09-08 12:44:53,1
2025-07-08,00899,899.HK,中加國信,0.311,-4.89,4910130,138444451.0,138444451.0,74040,66.32,3.55,10,0,0,2026-09-08 12:44:52,1
2025-07-08,08450,8450.HK,鉅京控股,0.145,12.4,1329270,145000000.0,145000000.0,117547,11.31,0.92,10,0,0,2026-09-08 12:44:53,1
2025-07-08,06663,6663.HK,國際永勝集團,0.317,12.41,1074300,253600000.0,253600000.0,26335,40.79,0.42,10,0,0,2026-09-08 12:44:53,1
2025-07-08,00620,620.HK,大唐西市,0.39,56.0,659800,312399840.0,312399840.0,4590,143.75,0.21,10,0,0,2026-09-08 12:44:52,1
2025-07-08,01022,1022.HK,飛魚科技,0.237,5.8,2373960,414617769.0,414617769.0,91710,25.89,0.57,10,0,0,2026-09-08 12:44:52,1
2025-07-08,01046,1046.HK,寰宇娛樂文化,0.52,55.22,1635310,471448784.0,471448784.0,20012,81.72,0.35,10,0,0,2026-09-08 12:44:52,1
2025-07-08,00610,610.HK,惠記集團,0.66,-1.49,789260,523461862.0,523461862.0,59660,13.23,0.15,10,0,0,2026-09-08 12:44:52,1
2025-07-08,01233,1233.HK,時代中國控股,0.198,3.12,711940,593226369.0,593226369.0,61624,11.55,0.12,10,0,0,2026-09-08 12:44:52,1
2025-07-09,00736,736.HK,中國置業投資,0.189,-1.05,567400,60593326.0,60593326.0,33777,16.8,0.94,10,0,0,2026-09-08 12:44:53,1
2025-07-09,00243,243.HK,品質國際,0.192,3.78,534130,66526182.0,66526182.0,29028,18.4,0.8,10,0,0,2026-09-08 12:44:53,1
2025-07-09,01253,1253.HK,綠博生態,0.15,0.0,613820,90617472.0,90617472.0,37188,16.51,0.68,10,0,0,2026-09-08 12:44:53,1
2025-07-09,00510,510.HK,時富金融服務集團,0.465,25.68,5020820,200496272.0,200496272.0,227306,22.09,2.5,10,0,0,2026-09-08 12:44:53,1
2025-07-09,00994,994.HK,中天宏信,0.265,72.08,13650500,342116590.0,342116590.0,34860,391.58,3.99,10,0,0,2026-09-08 12:44:53,1
2025-07-09,00620,620.HK,大唐西市,0.5,28.21,1966290,400512615.0,400512615.0,70570,27.86,0.49,10,0,0,2026-09-08 12:44:53,1
2025-07-09,08645,8645.HK,比特元宇宙,0.58,1.75,1513700,438772320.0,438772320.0,95650,15.83,0.34,10,0,0,2026-09-08 12:44:54,1
2025-07-09,01909,1909.HK,火岩控股,2.213,11.77,2011610,537362964.0,537362964.0,125248,16.06,0.37,10,0,0,2026-09-08 12:44:53,1
2025-07-09,01183,1183.HK,澳能建設,0.168,50.0,1354220,668760824.0,668760824.0,77273,17.53,0.2,10,0,0,2026-09-08 12:44:53,1
2025-07-09,00419,419.HK,弘毅文化集團,0.39,8.33,5672730,685290216.0,685290216.0,512398,11.07,0.83,10,0,0,2026-09-08 12:44:53,1
2025-07-09,06898,6898.HK,中國鋁罐,0.797,1.27,4039680,750296597.0,750296597.0,177534,22.75,0.54,10,0,0,2026-09-08 12:44:53,1
2025-07-09,00488,488.HK,麗新發展,0.66,22.22,758150,959197028.0,959197028.0,23068,32.87,0.08,10,0,0,2026-09-08 12:44:53,1
2025-07-10,01160,1160.HK,金石資本集團,0.147,9.7,546000,34878874.0,34878874.0,1340,407.46,1.57,10,0,0,2026-09-08 12:44:54,1
2025-07-10,08245,8245.HK,烽翼集團,0.22,8.91,2803180,45500680.0,63699080.0,2406,1165.08,4.4,10,0,0,2026-09-08 12:44:55,1
2025-07-10,00601,601.HK,稀鎂科技,0.09,12.5,790780,53333559.0,53333559.0,41218,19.19,1.48,10,0,0,2026-09-08 12:44:54,1
2025-07-10,08537,8537.HK,創輝珠寶,0.164,-0.61,608080,59040000.0,59040000.0,9740,62.43,1.03,10,0,0,2026-09-08 12:44:55,1
2025-07-10,01718,1718.HK,宏基集團控股,0.224,5.66,1157580,68122880.0,68122880.0,78156,14.81,1.7,10,0,0,2026-09-08 12:44:54,1
2025-07-10,01315,1315.HK,綠色經濟,0.147,12.21,928920,91415819.0,91415819.0,9099,102.09,1.02,10,0,0,2026-09-08 12:44:54,1
2025-07-10,01661,1661.HK,中國前沿科技集團,0.65,3.17,786180,123691230.0,123691230.0,25824,30.44,0.64,10,0,0,2026-09-08 12:44:54,1
2025-07-10,06968,6968.HK,港龍中國地產,0.085,0.0,756060,137852915.0,137852915.0,65241,11.59,0.55,10,0,0,2026-09-08 12:44:54,1
2025-07-10,01967,1967.HK,信懇智能,0.465,17.72,878800,139500000.0,139500000.0,49310,17.82,0.63,10,0,0,2026-09-08 12:44:54,1
2025-07-10,00833,833.HK,華訊,0.39,-7.14,1133960,184492690.0,184492690.0,99194,11.43,0.61,10,0,0,2026-09-08 12:44:54,1
2025-07-10,06158,6158.HK,正榮地產,0.046,12.2,837220,200916776.0,200916776.0,60605,13.81,0.42,10,0,0,2026-09-08 12:44:54,1
2025-07-10,00476,476.HK,科軒動力控股,0.59,43.9,4616450,209832974.0,209832974.0,73437,62.86,2.2,10,0,0,2026-09-08 12:44:54,1
2025-07-10,00532,532.HK,王氏港建,0.3,17.65,584550,218969389.0,218969389.0,25408,23.01,0.27,10,0,0,2026-09-08 12:44:54,1
2025-07-10,01080,1080.HK,勝利管道,0.06,42.86,3154600,232461936.0,232461936.0,135827,23.23,1.36,10,0,0,2026-09-08 12:44:54,1
2025-07-10,08481,8481.HK,盛龍錦秀國際,0.6,-1.64,13240300,243102000.0,243102000.0,47230,280.34,5.45,10,0,0,2026-09-08 12:44:55,1
2025-07-10,02349,2349.HK,中國智能基礎設施,0.079,41.07,757190,247134005.0,247134005.0,9545,79.33,0.31,10,0,0,2026-09-08 12:44:54,1
2025-07-10,01777,1777.HK,花樣年控股(新),0.075,11.94,1138280,272127548.0,272127548.0,34010,33.47,0.42,10,0,0,2026-09-08 12:44:54,1
2025-07-10,01062,1062.HK,國開國際投資,0.118,20.41,619500,342461412.0,342461412.0,31057,19.95,0.18,10,0,0,2026-09-08 12:44:54,1
2025-07-10,00583,583.HK,長城環亞控股,0.24,6.67,2284490,376258943.0,376258943.0,143544,15.91,0.61,10,0,0,2026-09-08 12:44:54,1
2025-07-10,03301,3301.HK,融信中國,0.233,12.56,4205810,392239520.0,392239520.0,246673,17.05,1.07,10,0,0,2026-09-08 12:44:54,1
2025-07-10,00149,149.HK,中國農產品交易,0.041,2.5,2281650,408075781.0,408075781.0,44453,51.33,0.56,10,0,0,2026-09-08 12:44:54,1
2025-07-10,02376,2376.HK,魯商服務,3.166,48.22,3718660,422154440.0,105554440.0,52403,70.96,0.88,10,0,0,2026-09-08 12:44:54,1
2025-07-10,01966,1966.HK,中駿集團控股,0.117,0.0,1130180,494089377.0,494089377.0,94157,12.0,0.23,10,0,0,2026-09-08 12:44:54,1
2025-07-10,00090,90.HK,普星能量,1.326,162.06,53333100,608103600.0,608103600.0,86756,614.75,8.77,10,0,0,2026-09-08 12:44:54,1
2025-07-10,01233,1233.HK,時代中國控股,0.21,7.69,1737270,629179483.0,629179483.0,114675,15.15,0.28,10,0,0,2026-09-08 12:44:54,1
2025-07-10,00337,337.HK,綠地香港,0.255,18.6,7131890,711930594.0,711930594.0,679196,10.5,1.0,10,0,0,2026-09-08 12:44:54,1
2025-07-10,01141,1141.HK,民銀資本,0.69,48.39,8196840,756908398.0,756908398.0,464647,17.64,1.08,10,0,0,2026-09-08 12:44:54,1
2025-07-10,06898,6898.HK,中國鋁罐,0.877,10.04,26033940,825608677.0,825608677.0,575582,45.23,3.15,10,0,0,2026-09-08 12:44:54,1
2025-07-10,01183,1183.HK,澳能建設,0.208,23.81,7688920,827989591.0,827989591.0,195526,39.32,0.93,10,0,0,2026-09-08 12:44:54,1
2025-07-11,01862,1862.HK,景瑞控股,0.011,10.0,660590,16926945.0,16926945.0,27577,23.95,3.9,10,0,0,2026-09-08 12:44:55,1
2025-07-11,01803,1803.HK,北京體育文化-新,0.115,0.0,4546930,19430618.0,19430618.0,5360,848.31,23.4,10,0,0,2026-09-08 12:44:55,1
2025-07-11,00243,243.HK,品質國際,0.3,53.85,5565700,103947160.0,103947160.0,89626,62.1,5.35,10,0,0,2026-09-08 12:44:55,1
2025-07-11,01049,1049.HK,時富投資,1.38,25.45,1443210,111363490.0,111363490.0,64215,22.47,1.3,10,0,0,2026-09-08 12:44:55,1
2025-07-11,00619,619.HK,南華金融,0.45,100.89,10046700,135574682.0,135574682.0,9866,1018.32,7.41,10,0,0,2026-09-08 12:44:55,1
2025-07-11,00718,718.HK,太和控股,0.038,-9.52,517290,199500754.0,199500754.0,30143,17.16,0.26,10,0,0,2026-09-08 12:44:55,1
2025-07-11,08350,8350.HK,立橋證券控股,0.23,47.44,2261200,218514720.0,218514720.0,100040,22.6,1.03,10,0,0,2026-09-08 12:44:56,1
2025-07-11,02263,2263.HK,富石金融,0.28,50.54,3155500,280000000.0,280000000.0,134350,23.49,1.13,10,0,0,2026-09-08 12:44:55,1
2025-07-11,00476,476.HK,科軒動力控股,1.0,69.49,24747270,355649109.0,355649109.0,523717,47.25,6.96,10,0,0,2026-09-08 12:44:55,1
2025-07-11,01141,1141.HK,民銀資本,0.74,7.25,15054080,811756833.0,811756833.0,1135133,13.26,1.85,10,0,0,2026-09-08 12:44:55,1
2025-07-11,00212,212.HK,南洋集團,24.2,0.0,1508800,822019260.0,822019260.0,55370,27.25,0.18,10,0,0,2026-09-08 12:44:55,1
2025-07-11,00381,381.HK,權識國際,0.62,26.53,11542050,824863206.0,824863206.0,411854,28.02,1.4,10,0,0,2026-09-08 12:44:55,1
2025-07-14,00339,339.HK,全球數字控股,0.168,46.09,2778660,72576000.0,72576000.0,164913,16.85,3.83,10,0,0,2026-09-08 12:44:56,1
2025-07-14,01561,1561.HK,聯洋智能控股,0.076,-12.64,871720,80974512.0,80974512.0,32713,26.65,1.08,10,0,0,2026-09-08 12:44:56,1
2025-07-14,08120,8120.HK,國農金融投資,0.53,6.0,1980480,86192183.0,86192183.0,157921,12.54,2.3,10,0,0,2026-09-08 12:44:57,1
2025-07-14,02178,2178.HK,百勤油服,0.076,18.75,2491420,131227276.0,131227276.0,221245,11.26,1.9,10,0,0,2026-09-08 12:44:56,1
2025-07-14,08471,8471.HK,新達控股,1.88,-12.96,2390710,138292800.0,138292800.0,102405,23.35,1.73,10,0,0,2026-09-08 12:44:57,1
