scan_date,code5,symbol,name,close,chg_pct,turnover_day,mcap_total,mcap_hk,ma10,ratio,turnover_to_mcap,ma10_days_available,ma_short,has_domestic_shares,scan_time
2026-08-27,06182,6182.HK,乙德投資控股,0.735,23.53,24417400,588000000,588000000,290548,84.04,4.15,10,0,0,2026-09-08 07:26:43
2026-08-27,00450,450.HK,鴻興印刷集團,0.675,-10.0,887580,612808857,612808857,72516,12.24,0.14,10,0,0,2026-09-08 07:26:43
2026-08-27,01085,1085.HK,亨鑫科技,1.68,1.2,1127930,782208000,782208000,67361,16.74,0.14,10,0,0,2026-09-08 07:26:43
2026-08-27,00420,420.HK,福田實業,0.655,-5.76,3265420,802392659,802392659,294099,11.1,0.41,10,0,0,2026-09-08 07:26:43
2026-08-27,00950,950.HK,李氏大藥廠,1.375,22.77,12242348,809648597,809648597,578923,21.15,1.51,10,0,0,2026-09-08 07:26:43
2026-08-28,02048,2048.HK,易居企業控股,0.03,57.89,3609125,52471786,52471786,156923,23.0,6.88,10,0,0,2026-09-08 07:26:44
2026-08-28,09958,9958.HK,力天影業,0.139,13.93,850074,69500000,69500000,5600,151.8,1.22,10,0,0,2026-09-08 07:26:45
2026-08-28,08413,8413.HK,亞洲富思,0.068,17.24,785140,79016000,79016000,54206,14.48,0.99,10,0,0,2026-09-08 07:26:45
2026-08-28,01470,1470.HK,富一國際控股,0.114,-14.29,861880,91200000,91200000,10932,78.84,0.95,10,0,0,2026-09-08 07:26:44
2026-08-28,08021,8021.HK,匯隆控股,0.165,-2.94,784760,118528584,118528584,70117,11.19,0.66,10,0,0,2026-09-08 07:26:45
2026-08-28,01841,1841.HK,優越集團控股,0.485,15.48,2317000,194000000,194000000,212305,10.91,1.19,10,0,0,2026-09-08 07:26:44
2026-08-28,02605,2605.HK,MetaLight,1.3,13.04,1067930,201384901,201384901,92830,11.5,0.53,10,0,0,2026-09-08 07:26:44
2026-08-28,01447,1447.HK,新福港,0.55,0.0,530200,220000000,220000000,39334,13.48,0.24,10,0,0,2026-09-08 07:26:44
2026-08-28,09919,9919.HK,艾德韋宣集團,0.775,1.31,1393031,576768950,576768950,132179,10.54,0.24,10,0,0,2026-09-08 07:26:45
2026-08-28,02536,2536.HK,百樂皇宮,0.81,-2.41,1101240,653341140,653341140,2174,506.55,0.17,10,0,0,2026-09-08 07:26:44
2026-08-28,00993,993.HK,信控國際資本,0.095,-2.06,2024528,827410671,827410671,12551,161.3,0.24,10,0,0,2026-09-08 07:26:44
